,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
86,Sold,Residential,Rural Residential,1.0,1.0,1.0,1028.0,0.25,2023,106557.377,1.5,103.65503599221789,1.5,3953.846153846154,0.0009727531833347925
87,Sold,Residential,Rural Residential,2.0,0.0,3.0,1750.0,0.86,2023,106557.377,2.0,60.889929714285714,0.6666666666666666,2011.4942528735633,0.0017142759184233232
88,Sold,Residential,Rural Residential,1.0,1.0,3.0,1442.0,1.65,2016,137551.867,1.5,95.38964424410541,0.5,868.6746987951808,0.0020804294006282896
89,Sold,Residential,Rural Residential,2.0,1.0,4.0,1659.0,0.22,2017,136632.653,2.5,82.35844062688366,0.625,7213.043478260869,0.0024110764853738074
90,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1740.0,2.06,2021,124003.69,2.0,71.26648850574713,0.6666666666666666,840.5797101449276,0.0017241280222527458
91,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1568.0,2.0,2022,115642.123,2.0,73.75135395408164,0.6666666666666666,780.0995024875623,0.0019132531042531616
92,Sold,Residential,Rural Residential,1.0,0.0,2.0,1080.0,0.28,2023,110819.672,1.0,102.6108074074074,0.5,3724.1379310344823,0.0018518347052342108
93,Sold,Residential,Mobile/Mod/Mfg w/Property,3.0,1.0,5.0,2660.0,3.67,2018,135956.175,3.5,51.1113439849624,0.7,722.8260869565217,0.0018796921816083396
94,Sold,Residential,Rural Residential,1.0,1.0,2.0,1000.0,3.0,2018,135956.175,1.5,135.956175,0.75,332.22591362126246,0.001999980000199998
95,Sold,Residential,Rural Residential,2.0,0.0,2.0,1134.0,0.12,2023,111885.246,2.0,98.66423809523809,1.0,8723.076923076922,0.0017636528778405835
96,Sold,Residential,Rural Residential,1.0,0.0,3.0,1904.0,9.0,2021,125922.509,1.0,66.13577153361345,0.3333333333333333,211.32075471698113,0.001575621976775332
97,Sold,Residential,Rural Residential,1.0,1.0,2.0,1150.0,0.74,2023,111885.246,1.5,97.29151826086957,0.75,1533.3333333333333,0.0017391153120407648
98,Sold,Residential,Condo/Townhse/Duplex/Apt,2.0,2.0,2.0,1779.0,0.0,2023,111885.246,3.0,62.89221247892074,1.5,177900.0,0.0011242207744756915
99,Sold,Residential,Rural Residential,2.0,0.0,4.0,2200.0,5.0,2017,140479.592,2.0,63.85436,0.5,439.12175648702595,0.0018181735537565735
100,Sold,Residential,Rural Residential,1.0,0.0,2.0,1386.0,0.25,2024,110047.468,1.0,79.39932756132755,0.5,5330.7692307692305,0.0014429910318107372
101,Sold,Residential,Rural Residential,3.0,0.0,5.0,2010.0,0.29,2020,137306.202,3.0,68.31154328358208,0.6,6700.0,0.002487549813185009
102,Sold,Residential,Rural Residential,1.0,0.0,1.0,1008.0,13.0,2024,113132.911,1.0,112.23503075396825,1.0,77.47886241352806,0.000992053650261406
103,Sold,Residential,Rural Residential,2.0,0.0,2.0,676.0,3.71,2022,122431.507,2.0,181.1116967455621,1.0,181.72043010752688,0.0029585361163296403
104,Sold,Residential,Rural Residential,2.0,1.0,2.0,2556.0,0.36,2021,131918.819,2.5,51.61143153364632,1.25,6908.108108108108,0.0007824695521535518
105,Sold,Residential,Rural Residential,2.0,0.0,2.0,1200.0,1.5,2020,141085.271,2.0,117.57105916666667,1.0,794.7019867549669,0.0016666527778935176
106,Sold,Residential,Rural Residential,1.0,0.0,2.0,1112.0,0.8,2022,124657.534,1.0,112.10209892086331,0.5,1372.8395061728395,0.0017985449771135151
107,Sold,Residential,Rural Residential,1.0,1.0,3.0,1369.0,0.5,2021,136715.867,1.5,99.86549817384953,0.5,2684.3137254901962,0.0021913645627132015
108,Sold,Residential,Rural Residential,2.0,0.0,3.0,1592.0,0.5,2019,145869.141,2.0,91.62634484924624,0.6666666666666666,3121.5686274509803,0.0018844102738048128
109,Sold,Residential,Rural Residential,2.0,0.0,3.0,1448.0,0.5,2015,157563.291,2.0,108.81442748618784,0.6666666666666666,2839.2156862745096,0.002071808896347401
110,Sold,Residential,Rural Residential,1.0,0.0,3.0,1075.0,0.95,2022,127996.575,1.0,119.06658139534883,0.3333333333333333,1119.7916666666667,0.0027906717146817237
111,Sold,Residential,Rural Residential,2.0,0.0,2.0,1440.0,11.0,2023,122540.984,2.0,85.09790555555556,1.0,130.79019073569484,0.0013888792438941397
112,Sold,Residential,Rural Residential,2.0,0.0,3.0,1809.0,0.69,2019,145996.094,2.0,80.70541404090659,0.6666666666666666,2584.2857142857147,0.0016583656253973168
113,Sold,Residential,Rural Residential,2.0,0.0,4.0,1892.0,4.0,2019,145996.094,2.0,77.16495454545455,0.5,471.8204488778055,0.002114153730688527
114,Sold,Residential,Rural Residential,1.0,0.0,3.0,1272.0,0.53,2024,118275.316,1.0,92.9837389937107,0.3333333333333333,2355.555555555555,0.0023584720245910015
115,Sold,Residential,Rural Residential,2.0,0.0,2.0,1056.0,0.33,2023,123606.557,2.0,117.05166382575757,1.0,3105.882352941176,0.0018939214590770921
116,Sold,Residential,Rural Residential,2.0,0.0,3.0,1587.0,3.25,2021,139114.391,2.0,87.65872148708254,0.6666666666666666,486.80981595092027,0.0018903472567910725
117,Sold,Residential,Rural Residential,2.0,0.0,3.0,1500.0,0.57,2019,148408.203,2.0,98.93880200000001,0.6666666666666666,2586.206896551724,0.001999986666755555
119,Sold,Residential,Rural Residential,2.0,0.0,3.0,1500.0,0.5,2018,152788.845,2.0,101.85923,0.6666666666666666,2941.176470588235,0.001999986666755555
120,Sold,Residential,Rural Residential,2.0,0.0,3.0,2034.0,0.46,2018,152788.845,2.0,75.11742625368731,0.6666666666666666,4327.659574468084,0.0014749190023647869
121,Sold,Residential,Rural Residential,2.0,0.0,3.0,1948.0,10.0,2022,131335.616,2.0,67.42074743326489,0.6666666666666666,194.60539460539462,0.0015400331620474227
122,Sold,Residential,Rural Residential,2.0,0.0,3.0,1419.0,5.0,2020,148643.411,2.0,104.75222762508808,0.6666666666666666,283.23353293413174,0.0021141500059900916
123,Sold,Residential,Rural Residential,2.0,0.0,3.0,1909.0,2.93,2016,159802.905,2.0,83.71026977475118,0.6666666666666666,649.3197278911565,0.0015714951728906606
124,Sold,Residential,Rural Residential,2.0,0.0,3.0,1524.0,0.34,2019,150947.266,2.0,99.0467624671916,0.6666666666666666,4354.285714285714,0.001968491020400129
125,Sold,Residential,Rural Residential,2.0,0.0,3.0,1872.0,0.27,2019,150947.266,2.0,80.63422329059829,0.6666666666666666,6685.714285714285,0.0016025555419041564
